simulation_time,ambulance_edge,ambulance_speed,ambulance_distance_covered,num_vehicles
105.0,-1285481595,0.2932073051924817,0.029320730519248175,10
106.0,-1285481595,0.7601595608284697,0.10533668660209515,10
107.0,-1285481595,1.1667713168426417,0.22201381828635933,10
108.0,-1285481595,1.5680082681938075,0.3788146451057401,10
109.0,-1285481595,1.8260307541349903,0.5614177205192391,10
110.0,-1285481595,2.249976369435899,0.786415357462829,10
111.0,-1285481595,2.655304479994811,1.05194580546231,10
112.0,-1285481595,3.0119928277563304,1.3531450882379432,11
113.0,-1285481595,3.454062319768127,1.698551320214756,11
114.0,-1285481595,3.8064934601425193,2.079200666229008,11
115.0,-1285481595,4.13247695681639,2.4924483619106472,11
116.0,-1285481595,4.471675675129518,2.9396159294235993,11
117.0,-1285481595,4.784485221432988,3.418064451566898,11
118.0,-1285481595,5.167324696260039,3.934796921192902,11
119.0,-1285481595,5.427595832385123,4.477556504431414,11
120.0,:11924891964_0,5.853795830800664,5.06293608751148,11
121.0,:11924891964_0,6.239265189273283,5.686862606438809,12
122.0,1124062595#9,6.683486202149652,6.355211226653775,11
123.0,1124062595#9,6.990409941936377,7.054252220847412,11
124.0,1124062595#9,7.348175156104844,7.789069736457897,11
125.0,1124062595#9,7.835070581524633,8.57257679461036,11
126.0,1124062595#9,8.173237873183098,9.38990058192867,11
127.0,1124062595#9,8.51399167632917,10.241299749561586,11
128.0,1124062595#9,8.874235584808048,11.12872330804239,11
129.0,1124062595#9,9.260766334100623,12.054799941452453,12
130.0,:864905398_0,6.504502660201933,12.705250207472647,12
131.0,72878025#1,6.516728671980626,13.356923074670709,12
132.0,72878025#1,6.9181914199288705,14.048742216663596,12
133.0,72878025#1,7.297716486980743,14.77851386536167,12
134.0,72878025#1,7.56905312383601,15.535419177745272,12
135.0,72878025#1,7.826237585060834,16.318042936251356,12
136.0,72878025#1,8.271268404685497,17.145169776719904,12
137.0,72878025#1,8.695401815770264,18.01470995829693,12
138.0,72878025#1,9.100619323449745,18.924771890641903,13
139.0,72878025#1,9.37784813299363,19.862556703941266,12
140.0,72878025#1,9.795216071666754,20.84207831110794,11
141.0,72878025#1,10.138242380184192,21.85590254912636,10
142.0,72878025#1,10.479453706662706,22.90384791979263,10
143.0,72878025#1,10.874980479435134,23.99134596773614,10
144.0,:cluster_10723296482_866807200_9771116367_9771116368_#1more_14,11.353434342614445,25.126689401997584,10
145.0,:cluster_10723296482_866807200_9771116367_9771116368_#1more_14,11.68802668883286,26.29549207088087,10
146.0,72878025#3,12.082747694352246,27.503766840316093,11
147.0,72878025#3,12.473082686556108,28.751075108971705,11
148.0,72878025#3,12.9192585227574,30.043000961247444,11
149.0,72878025#3,13.174697054855596,31.360470666733004,11
150.0,72878025#3,13.51667156555045,32.712137823288046,10
151.0,72878025#3,13.882575757233962,34.10039539901144,10
152.0,72878025#3,14.188638236446376,35.519259222656075,10
153.0,72878025#3,14.475988353675302,36.966858058023604,10
154.0,72878025#3,14.939265857348754,38.46078464375848,10
155.0,72878025#3,10.439265857348754,39.50471122949335,11
156.0,:cluster_864905400_864964244_13,5.9392658573487545,40.09863781522823,11
157.0,73030702#1,6.025530456511863,40.701190860879414,11
158.0,73030702#1,6.411054674016871,41.3422963282811,11
159.0,73030702#1,6.90743594058333,42.033039922339434,11
160.0,73030702#1,7.2332064742852005,42.756360569767956,11
161.0,73030702#1,7.53676128964182,43.51003669873214,11
162.0,73030702#1,7.818281431163289,44.291864841848465,11
163.0,73030702#1,8.258126907113567,45.117677532559824,12
164.0,73030702#1,8.695863465492241,45.98726387910905,12
165.0,73030702#1,9.123827306383848,46.899646609747435,12
166.0,73030702#1,9.51206191786807,47.850852801534245,12
167.0,73030702#1,9.916617218409758,48.84251452337522,11
168.0,73030702#1,10.407479896680545,49.88326251304328,11
169.0,73030702#1,10.765090968464595,50.959771609889735,11
170.0,73030702#1,11.070342042197101,52.06680581410944,10
171.0,73030702#1,11.559320799370855,53.22273789404653,10
172.0,73030702#1,11.917923036327213,54.414530197679255,11
173.0,73030702#1,12.342203407611326,55.64875053844039,11
174.0,73030702#1,12.607736326002144,56.9095241710406,11
175.0,73030702#1,13.019071365303919,58.21143130757099,11
176.0,73030702#1,13.401088975549303,59.55154020512592,11
177.0,73030702#1,13.748544262726885,60.92639463139861,11
178.0,73030702#1,14.237998173693288,62.35019444876794,11
179.0,73030702#1,14.623190009971243,63.81251344976506,11
180.0,:866738789_1,15.068255725379661,65.31933902230303,11
181.0,73030702#2,15.551331033527479,66.87447212565577,12
182.0,73030702#2,15.928006791747269,68.4672728048305,12
183.0,73030702#2,16.309579209953174,70.09823072582581,11
184.0,73030702#2,16.571085192617122,71.75533924508753,11
185.0,73030702#2,17.03545052500451,73.45888429758797,11
186.0,:5279685268_1,17.43762935087327,75.2026472326753,11
187.0,73030702#3,17.76711378188813,76.97935861086411,11
