Algorithm,Cost (sec),Travel Time (s),Route
A* BCO,541.20,103.00,-1285481595 -> 1124062595#9 -> 72878025#1 -> 49552654#1 -> 49552654#2 -> 788752293#1 -> 1142049707#0 -> 1142049707#1 -> -181613191#1 -> -181613191#0
A* BCO,562.22,103.00,-1285481595 -> 1124062595#9 -> 72878025#1 -> 49552654#1 -> 49552654#2 -> 788752293#1 -> 1142049707#0 -> 1142049707#1 -> -181613191#1 -> -181613191#0
